VOTI 33° GIORNATA CAMPIONATO 2013-2014,,,,,,,,,,,,,,,
Solo su WWW.FANTAGAZZETTA.COM i voti alle prime luci dell'alba,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTAGAZZETTA.COM,,,,,,,,,,,,,,,
ATALANTA,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
592,D,ROLANDO,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
55,C,TAIDER,6*,0,0,0,0,0,0,0,0,0,0,0,0
185,C,ALVAREZ R.,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
189,C,CAMBIASSO,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
200,C,KOVACIC,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
254,C,HERNANES,"5,51",0,0,0,0,0,0,0,0,1,0,0,0
197,A,ICARDI,"8,04",2,0,0,0,0,0,1,0,0,0,1,0
205,A,MILITO,6*,0,0,0,0,0,0,0,0,0,0,0,0
209,A,PALACIO,"7,53",1,0,0,0,0,0,0,0,2,0,0,0
623,ALL,MAZZARRI,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
JUVENTUS,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
219,P,BUFFON,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
220,D,CACERES,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
221,D,CHIELLINI,"6,53",0,0,0,0,0,0,0,0,0,0,0,0
225,D,LICHTSTEINER,"6,53",0,0,0,0,0,0,1,0,0,0,0,0
230,D,OGBONNA,"6,52",0,0,0,0,0,0,1,0,0,0,0,0
215,C,ASAMOAH,"6,5",0,0,0,0,0,0,0,0,0,0,0,0
224,C,ISLA,6*,0,0,0,0,0,0,0,0,0,0,0,0
227,C,MARCHISIO,"6,52",0,0,0,0,0,0,0,0,0,0,0,0
234,C,PIRLO,"6,01",0,0,0,0,0,0,0,0,0,0,0,0
235,C,POGBA,"7,03",0,0,0,0,0,0,0,0,0,0,0,0
223,A,GIOVINCO,"7,54",1,0,0,0,0,0,0,0,0,0,1,0
226,A,LLORENTE,"7,54",1,0,0,0,0,0,0,0,0,0,0,0
241,A,VUCINIC,6*,0,0,0,0,0,0,0,0,0,0,0,0
715,A,OSVALDO,6*,0,0,0,0,0,0,0,0,0,0,0,0
615,ALL,CONTE,"7,53",0,0,0,0,0,0,0,0,0,0,0,0
LAZIO,Voti gentilmente offerti da www.fantagazzetta.com,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,VF,Gol Fatto,Gol Subito,Rigore Parato,Rigore Sbagliato,Rigore Segnato,Autorete,Ammonizione,Espulsione,Assist,Assist Fermo,Gdv,Gdp
649,P,BERISHA,"6,02",0,4,0,0,0,0,0,0,0,0,0,0
245,D,CANA,"4,51",0,0,0,0,0,0,0,1,0,0,0,0
247,D,CAVANDA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
248,D,CIANI,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
256,D,KONKO,"5,5",0,0,0,0,0,0,0,0,0,0,0,0
263,D,NOVARETTI,"4,51",0,0,0,0,0,0,0,0,0,0,0,0
267,D,RADU,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
246,C,CANDREVA,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
251,C,FELIPE ANDERSON,"5,51",0,0,0,0,0,0,0,0,0,0,0,0
258,C,LEDESMA,"6,02",0,0,0,0,0,0,1,0,0,0,0,0
259,C,LULIC,"6,53",1,0,0,0,0,0,0,0,0,0,0,0
262,C,MAURI,"6,02",0,0,0,0,0,0,0,0,0,0,0,0
264,C,ONAZI,"6,53",1,0,0,0,0,0,0,0,0,0,0,0
